Behavior-driven|бихейвиа дривен
development|дев^елопмент
BDD|би ди ди
VanessaExt|Ванесса Экст
vanessa-automation-single|ванэсса автомэйшен сингл
Ванесса|Ванэсса
Ванессы|Ванэссы
vanessa|ванэсса
Vanessa|ванэсса
automation|автомэйшен
Automation|автомэйшен
.feature| 
feature|фича
.epf| 
Visual Studio Code|вижуал студио код
VSCode| вэ эс код
Monaco|Монако
@IgnoreOnCIMainBuild|Игнор он циай мейн билд
IgnoreOnCIMainBuild|Игнор он циай мейн билд
Core\FeatureWrite| 
Core\FeatureWrite\| 
Core\OpenForm| 
ValueList|вэл ю лист
т.к.|так как
Т.к.|так как
т.е.|то есть
т.д.|так далее
 тег | тэг 
Support\Instructions\Core\step_definitions| 
Support\Instructions\Temp\step_definitions| 
Support\Instructions\Core| 
Support\Instructions\Temp| 
Support\Templates| 
ERP|е эр пи
ДляГенерацииEPF|ДляГенерации е п ф
основную форму|основну-ю форму
ЯУказалПервоеСлагаемое|Я указал первое слагаемое
пересоздадим|пере создадим
1С |один эс 
"1С"|один эс 
TestClient|тест клиент
EPF|е пэ эф
epf|е пэ эф
<>|неравно
Gherkin|Геркин
@ExportScenarios|тэг экспорт сценари ос
ExportScenarios|экспорт сценари ос
TestManager|тест менеджер
Sleep|слип
1/0|один делить на ноль
асинхронн|ассинхронн
&НаКлиенте|на клиенте
&НаСервере|на сервере
&НаСервереБезКонтекста|на сервере без контекста
@tree|тэг три
tree|три
Tree|три
UI|ю^ай
Binatone|бинатон
1С:Предприятие|один эс предприятие
б/н|без номера
Загрузим|загру зим
ПроверкаРаботыФлагаОстановкаПриВозникновенииОшибки|Проверка работы флага остановка при возникновении ошибки
ОстановкаПриВозникновенииОшибки|Остановка при возникновении ошибки
single|сингл
Single|сингл
CI|си ай
таймаут|тайм аут
Таймаут|тайм аут
TCP|ти си пи
json|джейс+он
IrfanView|ирфан вью
nircmd|нир цэ эм дэ
SikuliX|сикули икс
HTML|аш т мл
Markdown|марк даун
скриншота|скрин шо та
скриншот|скрин шот
VLC|вэ эл си
ffmpeg|ф ф эмпег
FFmpeg|ф ф эмпег
ImageMagic|имадж мэдджик
mp3|эм пэ три
text to speech|текст ту спич
Elena|елена
Convert|конверт
TTS|текст ту спич
подгоняться|под гоняться
1.2.020|один точка два точка ноль 20
1.2.021|один точка два точка ноль 21
1.2.022|один точка два точка ноль 22
1.2.023|один точка два точка ноль 23
1.2.024|один точка два точка ноль 24
1.2.025|один точка два точка ноль 25
1.2.026|один точка два точка ноль 26
1.2.027|один точка два точка ноль 27
1.2.028|один точка два точка ноль 28
1.2.029|один точка два точка ноль 29
1.2.030|один точка два точка ноль 30
1.2.031|один точка два точка ноль 31
1.2.032|один точка два точка ноль 32
1.2.033|один точка два точка ноль 33
1.2.034|один точка два точка ноль 34
1.2.035|один точка два точка ноль 35
1.2.036|один точка два точка ноль 36
1.2.037|один точка два точка ноль 37
Ctrl|контрол
Alt+E|альт плюс и
Alt|альт
Enter|энтер
Allure|аллюр
стеке|стэке
Поля|полля
onescript|уан скрипт
opm|о пэ эм
install|инстал
8.3.13|8 3 13
8.3.14|8 3 14
8.3.15|восемь три пятнадцать
Bine ati venit in Romania|бине ац венит ын рома ния
1C-Romania|уан си рома ния
БСП|БЭ ЭС ПЭ
Oauth|оаус
EDT|Е ДЭ ТЭ
severity|северити
ПО|ПЭ^О
Unit|Юнит
JDT|Джей Ди Ти
JDK|Джей Ди Кэй
Eclipse|Эклипс
UTF-8|Ю ТЭ ЭФ восемь
0.2.0|ноль два ноль
1Unit|один юнит
history.MD|хистори точка эмдэ
Changelog.MD|чейнджлог точка эмдэ
тестами|тэстами
Amazon|Амазон
Intro|Интро
Outro|Аутро
Ctrl+I|контрол плюс-и
MkDocs|эм ка докс
Consul|консул
BIA Technologies|БиАйЭй - Техн^олоджиз
StoryMapper|стори м^апер
FireFox|фаер фокс
ff-for1c-ext|эф эф фо один эс
GenVP|ген ви пи
WebSocket|веб с^окет
BSL|Бэ Эс Эль
СППР|ЭсПэПэЭр
Gitlab|гит лаб
git|гит
mxl|эм икс эль
Автоинструкции|^Авто инструкции
автоинструкций|^авто инструкций
1С: Предприятие|один эс Предприятие
1С:Предприятие|один эс Предприятие
1С|один эс
email|им^эйл
e-mail|им^эйл
загрузим|загр^узим
подсценар|под сценар
